,country_name,sex,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
193,Liberia,Male,2.496,3.302,4.196,4.172,4.158,4.177,5.934,5.481,4.101,3.889,3.802
194,Libya,Female,21.631,21.985,21.711,21.222,21.075,21.228,21.69,21.917,21.725,21.21,20.827
195,Libya,Male,13.361,13.637,13.425,13.05,12.938,13.056,13.75,13.762,13.24,12.369,11.933
196,Lithuania,Female,8.457,7.478,6.18,5.224,5.066,5.219,7.043,6.07,5.149,6.13,5.917
197,Lithuania,Male,11.338,9.483,8.397,7.911,6.433,6.42,8.284,7.107,5.926,6.373,6.366
198,Luxembourg,Female,4.982,6.545,5.621,4.902,5.367,4.669,5.851,4.741,3.566,3.962,3.925
199,Luxembourg,Male,4.535,4.983,5.002,4.614,4.439,4.579,5.173,3.876,3.584,4.727,5.058
200,Macau,Female,1.187,1.377,1.328,1.339,1.03,1.081,1.879,1.598,1.856,1.31,0.892
201,Macau,Male,1.617,1.681,1.914,2.007,1.979,1.863,2.361,2.209,2.29,1.539,1.041
202,Madagascar,Female,1.024,1.315,1.3,1.298,1.303,1.304,1.565,1.677,1.446,1.389,1.357
203,Madagascar,Male,0.746,0.935,0.922,0.923,0.929,0.932,1.323,1.371,1.054,1.016,0.989
204,Malawi,Female,5.333,5.307,5.388,5.438,5.387,5.295,5.941,6.115,5.526,5.422,5.381
205,Malawi,Male,3.148,3.124,3.174,3.204,3.153,3.076,3.772,3.802,3.184,3.154,3.129
206,Malaysia,Female,1.521,1.622,2.354,2.114,1.824,1.605,3.163,2.671,2.58,2.502,2.467
207,Malaysia,Male,1.437,1.529,1.825,1.833,1.779,1.89,3.209,2.812,2.456,2.445,2.455
208,Maldives,Female,5.36,4.298,3.251,3.001,2.751,2.5,2.825,2.885,2.654,2.614,2.652
209,Maldives,Male,3.928,3.695,3.432,3.258,3.057,2.843,3.819,3.609,2.994,2.965,3.064
210,Mali,Female,1.116,0.993,0.945,1.101,1.266,1.515,1.791,1.743,2.437,2.486,2.473
211,Mali,Male,1.298,1.15,1.079,1.204,1.34,1.686,2.522,1.957,2.885,2.86,2.807
212,Malta,Female,4.135,4.542,4.097,3.299,2.946,3.414,4.031,2.708,2.3,2.359,2.416
213,Malta,Male,5.057,4.316,3.62,2.927,2.886,2.532,3.28,2.71,2.458,1.826,1.644
214,Mauritania,Female,10.207,9.667,9.28,8.746,10.468,12.016,12.47,12.946,12.579,12.376,12.21
215,Mauritania,Male,7.477,7.567,7.776,7.842,6.814,5.637,6.127,6.254,5.892,5.765,5.655
216,Mauritius,Female,7.368,7.145,7.087,6.511,6.308,6.818,7.623,6.418,6.63,5.445,4.681
217,Mauritius,Male,3.308,2.968,2.688,2.755,2.222,2.443,5.955,5.429,3.296,1.952,1.459
218,Mexico,Female,3.58,3.31,2.942,2.752,2.629,2.668,3.267,3.315,2.592,2.252,2.365
219,Mexico,Male,3.834,3.396,3.084,2.657,2.483,2.748,4.028,3.347,2.653,2.241,2.421
220,Moldova,Female,0.966,1.138,0.841,1.08,0.877,1.071,0.713,0.425,0.505,0.956,0.934
221,Moldova,Male,1.773,2.078,2.087,1.725,1.286,1.664,1.276,1.028,1.022,1.84,1.628
222,Mongolia,Female,3.35,3.106,4.312,4.131,3.549,4.159,5.16,6.177,4.536,3.665,3.285
223,Mongolia,Male,4.09,4.412,6.824,6.004,4.545,4.781,5.64,7.154,6.519,5.934,5.47
224,Montenegro,Female,16.63,15.606,15.197,15.326,14.315,14.784,16.519,14.426,13.801,13.166,12.856
225,Montenegro,Male,15.846,15.36,16.152,13.756,13.182,13.328,15.687,14.64,14.39,13.297,12.755
226,Morocco,Female,8.694,8.149,8.49,8.849,8.967,8.991,10.384,10.379,9.546,9.289,9.187
227,Morocco,Male,7.255,7.086,6.591,6.972,7.077,7.081,9.092,8.634,7.456,7.309,7.214
228,Mozambique,Female,2.264,2.365,2.428,2.504,2.577,2.615,2.697,3.021,2.709,2.653,2.645
229,Mozambique,Male,1.411,1.401,1.45,1.511,1.569,1.603,1.868,2.03,1.667,1.609,1.61
230,Myanmar,Female,0.607,0.632,0.829,1.094,0.697,0.255,1.289,3.534,2.151,2.15,2.118
231,Myanmar,Male,0.45,0.468,0.533,0.638,0.413,0.188,0.453,1.991,0.978,1.035,1.052
232,Namibia,Female,15.622,16.933,18.522,17.149,15.265,15.395,16.076,16.42,15.687,15.402,15.227
233,Namibia,Male,12.334,14.947,17.904,18.02,17.905,18.052,19.382,19.534,18.314,17.929,17.703
234,Nepal,Female,9.068,9.055,9.045,9.049,9.074,9.114,11.026,10.92,9.645,9.789,9.852
235,Nepal,Male,7.239,7.23,7.209,7.182,7.166,7.158,9.387,8.935,7.402,7.533,7.536
236,Netherlands,Female,6.681,6.473,5.75,4.539,3.412,2.787,2.947,3.58,2.964,2.858,2.776
237,Netherlands,Male,6.248,5.701,4.572,3.708,3.029,2.713,2.758,2.912,2.534,2.33,2.344
238,New Caledonia,Female,11.628,11.014,10.426,9.743,8.006,8.543,8.036,8.572,8.62,8.45,8.418
239,New Caledonia,Male,9.779,8.816,7.867,6.837,7.883,7.866,9.855,9.442,7.891,7.653,7.592
240,New Zealand,Female,4.564,4.444,4.059,3.793,3.337,3.172,3.682,2.804,2.543,2.755,2.961
241,New Zealand,Male,3.171,3.287,3.221,2.788,2.735,2.598,2.93,2.499,1.975,2.299,2.566
242,Nicaragua,Female,3.757,3.688,2.926,2.413,3.719,3.99,4.399,4.602,3.72,3.597,3.556
243,Nicaragua,Male,2.894,3.213,2.793,2.435,4.0,4.296,5.157,5.173,3.819,3.651,3.569
244,Niger,Female,0.431,0.47,0.467,0.478,0.458,0.457,0.488,0.873,0.483,0.449,0.404
245,Niger,Male,0.469,0.532,0.526,0.544,0.511,0.508,0.678,0.839,0.536,0.507,0.452
246,Nigeria,Female,2.255,2.454,2.782,3.084,3.298,3.407,4.555,5.624,5.099,4.652,4.482
247,Nigeria,Male,3.276,3.46,3.832,4.155,4.344,4.386,4.413,3.593,1.975,1.813,1.769
248,North Macedonia,Female,26.313,23.449,20.754,19.903,18.424,16.654,14.302,12.736,10.693,11.328,10.857
249,North Macedonia,Male,25.026,24.413,22.332,20.376,18.792,14.849,15.079,15.006,14.439,12.456,11.359
250,Norway,Female,2.682,3.249,3.067,2.876,2.767,2.452,3.155,2.863,2.073,2.147,2.075
251,Norway,Male,2.922,3.577,4.262,3.562,3.079,3.033,3.621,3.292,2.157,2.533,2.617
252,Palestine,Female,20.681,28.478,31.496,35.803,35.161,35.022,33.515,37.921,36.385,,
